##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
############### US ARMY UNIQUE WEAPONS ####################;;;;;;;;;;;;;;x
EVTNAME9105300;New Rifle Design: The Springfield 1903 Bolt Action Rifle;;;;;;;;;;x
EVTDESC9105300;The M1903 Springfield, formally the United States Rifle, Caliber .30-06, Model 1903, is an American clip-loaded, 5-round magazine fed, bolt-action service rifle used primarily during the first half of the 20th century. It was officially adopted as a United States military bolt-action rifle on June 19, 1903, and saw service in World War I. It was officially replaced as the standard infantry rifle by the faster-firing semi-automatic 8-round M1 Garand starting in 1937. However, the M1903 Springfield remained in service as a standard issue infantry rifle during World War II, since the U.S. entered the war without sufficient M1 rifles to arm all troops. It also remained in service as a sniper rifle during World War II, the Korean War, and even in the early stages of the Vietnam War. It remains popular as a civilian firearm, historical collector's piece, and as a military drill rifle.;;;;;;;;;;x
EVTNAME9105301;New Semi-Automatic Rifle Design: The M1 Garand Semi-Automatic Rifle;;;;;;;;;;x
EVTDESC9105301;The M1 Garand is a semi-automatic rifle chambered for the .30-06 Springfield rifle cartridge. It was the first standard-issue semi-automatic rifle. Called "the greatest battle implement ever devised" by General George S. Patton, the Garand officially replaced the bolt-action M1903 Springfield as the standard service rifle of the United States Armed Forces in 1936 (although the switch was not instantaneous) and was subsequently replaced by the selective-fire M14, starting in 1957. During World War II, the M1 gave U.S. forces a distinct advantage in firefights against their Axis enemies, as their standard-issue rifles were more effective than the Axis' slower-firing bolt-action rifles. The M1 continued to be used in large numbers until 1963 and to a lesser degree until 1976. Like its predecessor, the M1 originated from the Springfield Armory. Today, the M1 remains in use for drill purposes. The M1 is an air-cooled, gas-operated, clip-fed, semi-automatic, shoulder-fired weapon. This means that the air cools the barrel, that the power to cock the rifle and chamber the succeeding round comes from the expanding gas of the round fired previously, that it is loaded by inserting an en-bloc metal clip (containing eight rounds) into the receiver, and that the rifle fires one round each time the trigger is pulled. After the eight rounds have been shot, the empty clip automatically ejects with an audible "ping" noise. The M1 was the standard-issue service rifle of the U.S. forces in World War II and the Korean War, and also saw service to a limited extent in the Vietnam War. Most M1 rifles were issued to U.S. forces, though many thousands were also lent or provided as foreign aid to America's allies.;;;;;;;;;;x
EVTNAME9105302;New Semi-Automatic Rifle Design: The Johnson 1941 Semi-Automatic Rifle;;;;;;;;;;x
EVTDESC9105302;This system had some advantages over the M1 Rifle, including less perceived recoil and greater magazine capacity. Unfortunately, the Johnson's recoiling barrel mechanism resulted in excessive vertical shot dispersion that was never fully cured during its production life, and was prone to malfunction when a bayonet was attached to the reciprocating barrel. The Johnson also employed a number of small parts that were easily lost during field stripping. Partially because of lack of development, the M1941 was less rugged and reliable than the M1, though this was a matter of degree and was not universally opined amongst those that had used both weapons in combat.;;;;;;;;;;x
EVTNAME9105303;New Submachinegun Design: The M1 Thompson Submachinegun;;;;;;;;;;x
EVTDESC9105303;In 1938, the Thompson submachine gun was adopted by the U.S. military, serving during World War II and beyond. There were two military types of Thompson SMG. The M1928A1 had provisions for box and drum magazines. It had a Cutts compensator, cooling fins on the barrel, employed a delayed blowback action and its charging handle was on the top of the receiver. The M1 and M1A1 had a barrel without cooling fins, a simplified rear sight, provisions only for box magazines, employed a straight blowback action and the charging handle was on the side of the receiver. Over 1.5 million military Thompson submachine guns were produced during World War II.;;;;;;;;;;x
EVTNAME9105304;New Light Machine Gun Rifle Design: The Browning M1918 BAR;;;;;;;;;;x
EVTDESC9105304;The BAR was designed to be carried by advancing infantrymen, slung over the shoulder or fired from the hip, a concept called "walking fire"—thought to be necessary for the individual soldier during trench warfare. However, in practice, it was most often used as a light machine gun and fired from a bipod (introduced in later models). A variant of the original M1918 BAR, the Colt Monitor Machine Rifle, remains the lightest production automatic gun to fire the .30-06 Springfield cartridge, though the limited capacity of its standard 20-round magazine tended to hamper its utility in that role.;;;;;;;;;;x
EVTNAME9105305;New Heavy Machine Gun Design: The Browning M1917 HMG;;;;;;;;;;x
EVTDESC9105305;The M1917 Browning machine gun is a heavy machine gun used by the United States armed forces in World War I, World War II, Korea, and to a limited extent in Vietnam, it has also been used by other nations. It was a crew served, belt-fed, water-cooled machine gun that served alongside the much lighter air-cooled Browning M1919. It was used at the battalion level, and often mounted on vehicles (such as a jeep). There were two main iterations of it: the M1917, which was used in World War I; and the M1917A1; which was used thereafter. The M1917, which was used on some aircraft as well as in a ground role, had a firing rate of 450 rounds per minute, the M1917A1 had a firing rate of 450 to 600 rounds per minute.;;;;;;;;;;x
EVTNAME9105306;New Heavy Machine Gun Design: The Browning M1919 HMG;;;;;;;;;;x
EVTDESC9105306;The M1919 Browning is a .30 caliber medium machine gun widely used during the 20th century, especially during World War II, the Korean War, and the Vietnam War. An air-cooled development of the standard US machine gun of World War I, the John M. Browning-designed M1917, the M1919 saw service as a light infantry, coaxial, mounted, aircraft, and anti-aircraft machine gun by the U.S. and many other countries. Although it began to be superseded by newer designs, such as the M60, in the later half of the century, it remained in use in many North Atlantic Treaty Organization (NATO) countries and elsewhere for much longer.;;;;;;;;;;x
EVTNAME9105307;New Submachinegun Design: The M3 Greasegun;;;;;;;;;;x
EVTDESC9105307;The M3 was an American .45-caliber submachine gun adopted for U.S. Army service on 12 December 1942, as the United States Submachine Gun, Cal. .45, M3. The M3 was chambered for the same .45 round fired by the Thompson submachine gun, but was cheaper to produce, lighter, and more accurate. The M3 was commonly referred to as the "Grease Gun" or simply "the Greaser," owing to its visual similarity to a mechanic's grease gun. Intended as a replacement for the .45-caliber Thompson series of submachine guns, the M3 and its improved successor, the M3A1 began to replace the Thompson in first-line service in late 1944 and early 1945. Due to delays caused by production issues and approved specification changes, the M3/M3A1 saw relatively little combat use in World War II.;;;;;;;;;;x
EVTNAME9105308;New Carbine Design: The M1 Paratrooper Carbine;;;;;;;;;;x
EVTDESC9105308;The M1 carbine (formally the United States Carbine, Caliber .30, M1) is a lightweight .30 caliber semi-automatic carbine that became a standard firearm for the U.S. military during World War II, the Korean War and the Vietnam War, and was produced in several variants. Easy-to-use, it was widely used by U.S. and foreign military, paramilitary and police forces, and has also been a popular civilian firearm. In selective-fire versions capable of fully automatic firing, the carbine is designated the M2 carbine. The M3 carbine was an M2 with an active infrared scope system. Unlike conventional carbines, which are generally shorter-barreled versions of a longer parent rifle (like the earlier .30-40 U.S. Krag rifle and carbine and the later M16 rifle and M4 carbine), the M1 carbine has only one minor part in common with the unrelated larger M1 Garand, a short buttplate screw, and fires a different cartridge.;;;;;;;;;;x
EVTNAME9105309;New Mortar Design: The M1 81mm Mortar;;;;;;;;;;x
EVTDESC9105309;The M1 mortar is an American 81 millimeter caliber mortar. It was based on the French Brandt mortar. The M1 mortar was used from World War II until the 1950s when it was replaced by the lighter and longer ranged M29 mortar.;;;;;;;;;;x
EVTNAME9105310;New Mortar Design: The M2 60mm Mortar;;;;;;;;;;x
EVTDESC9105310;The U.S. M2 60 mm mortar was developed from the heavier 81 mm M1 Mortar to provide a lighter-weight alternative to company-level fire support. The M2 attempted to bridge the gap between the 81 mm mortar and the hand grenade. Normally employed by the weapons platoon of a U.S. infantry company, the M2 is of the usual mortar pattern of the day. It consists of a smoothbore metal tube on a rectangular baseplate, supported by a simple bipod with the elevation and traverse mechanisms. The firing pin was fixed in the base cap of the tube, and the bomb was fired automatically when it dropped down the barrel. Though classed as a light mortar, the M2 had considerable range compared to the 50 mm and 60 mm mortars of most other nations, and its fixed-firing pin design allowed a high rate of fire by trained crews.;;;;;;;;;;x
EVTNAME9105311;New Mortar Design: The M19 60mm Mortar;;;;;;;;;;x
EVTDESC9105311;The original M19 just had a simple spade-like M1 baseplate, leaving the elevation and traverse free for the firer. This of course was found to be too inaccurate, and the infantry initially refused the M19. A new mount, the M5, was developed, which used a conventional baseplate and bipod with elevation and traverse adjustment. This gave the M19 better accuracy, but made it heavier than the M2 Mortar with less range. The M19 fired the same ammunition used in the M2 mortar, which it would replace. The 60 mm mortar is used by the infantry to lob high-explosive and white phosphorus smoke shells at well-protected hostile locations. The weapon can also fire illumination rounds to light up the battlefield at night. The primary difference between the M2 and M19 was that the M2 was drop-fire only while the M19 could be drop-fired or a round loaded and then fired by a lever-like trigger at the base of the tube.;;;;;;;;;;x
EVTNAME9105312;New Infantry Anti-Tank Rocket Design: The M1 Bazooka Rocket Launcher;;;;;;;;;;x
EVTDESC9105312;Bazooka is the common name for a man-portable recoilless antitank rocket launcher weapon, widely fielded by the United States Army. Also referred to as the "Stovepipe", the innovative bazooka was among the first generation of rocket-propelled anti-tank weapons used in infantry combat. Featuring a solid rocket motor for propulsion, it allowed for high-explosive anti-tank (HEAT) warheads to be delivered against armored vehicles, machine gun nests, and fortified bunkers at ranges beyond that of a standard thrown grenade or mine. The bazooka also fired a HESH round, effective against buildings and tank armor. The universally applied nickname arose from the M1 variant's vague resemblance to the musical instrument called a "bazooka" invented and popularized by 1930s U.S. comedian Bob Burns. During World War II, German armed forces captured several bazookas in early North African and Eastern Front encounters and soon reverse engineered their own version, increasing the warhead diameter to 8.8 cm (among other minor changes) and widely issuing it as the Raketenpanzerbüchse "Panzerschreck" ("Tank terror").;;;;;;;;;;x
EVTNAME9105313;New Infantry Recoilless Rifle Design: The M20 75mm Recoilless Rifle;;;;;;;;;;x
EVTDESC9105313;The M20 recoilless rifle was a U.S. 75 mm caliber recoilless rifle used during the last months of the Second World War and extensively during the Korean War. It could be fired from an M1917A1 .30 caliber machine gun tripod, or from a vehicle mount, typically a Jeep. Its shaped charge warhead, also known as HEAT, was capable of penetrating 100 mm of armor. Although the weapon proved ineffective against the T-34 tank during the Korean War, it was used primarily as a close infantry support weapon to engage all types of targets including infantry and lightly armored vehicles. The M20 proved useful against pillboxes and other types of field fortifications.;;;;;;;;;;x
EVTNAME9105314;New Infantry Howitzer Design: The M101 105mm Medium Howitzer;;;;;;;;;;x
EVTDESC9105314;The 105 mm M2A1 (M101A1) howitzer was a howitzer developed and used by the United States. It was the standard U.S. light field howitzer in World War II and saw action in both the European and Pacific theaters. Entering production in 1941, it quickly gained a reputation for accuracy and a powerful punch. The M101A1 fired 105 mm high explosive (HE) semi-fixed ammunition and had a range of 11,270 meters, or 12,325 yards, making it suitable for supporting infantry. All of these qualities of the weapon, along with its widespread production, led to its adoption by many countries after the war. Its ammunition type also became the standard for many foreign countries' later models.;;;;;;;;;;x
EVTNAME9105315;New Medium Field Gun Design: The M1918 155 GPF 155mm Medium Field Gun;;;;;;;;;;x
EVTDESC9105315;The American M1918 155mm GPF was a copy of the French mle. 1917 field gun and utilized by the US Army and US Marines up to 1945.;;;;;;;;;;x
EVTNAME9105316;New Medium Field Gun Design: The M59 (M2 Long Tom) 155mm Medium Field Gun;;;;;;;;;;x
EVTDESC9105316;The 155mm Long Tom was a 155mm caliber field gun developed and used by the United States military. It was produced in M1 and M2 variants (later known as the M59). Developed to replace the Canon de 155mm GPF, the gun was deployed as a heavy field weapon during World War II and the Korean War, and also classed as secondary armament for seacoast defense. The gun could fire a 45.36 kg (100 lb) shell to a maximum range of 22 km (13.7 mi), with an estimated accuracy life of 1,500 rounds.;;;;;;;;;;x
EVTNAME9105317;New Medium Howitzer Design: The M114 155mm Medium Howitzer;;;;;;;;;;x
EVTDESC9105317;The M114 155 mm howitzer was a towed howitzer developed and used by the United States Army. It was first produced in 1942 as a medium artillery piece under the designation of 155 mm Howitzer M1. It saw service with the US Army during World War II, the Korean War, and the Vietnam War, before being replaced by the M198 howitzer.;;;;;;;;;;x
EVTNAME9105318;New Pack Howitzer Design: The M1 75mm Pack Howitzer;;;;;;;;;;x
EVTDESC9105318;The 75mm Pack Howitzer M1 (also known by its post-war designation M116) was designed in the United States in the 1920s to meet a need for an artillery piece that could be moved across difficult terrain. The gun and carriage was designed so that it could be broken down into several pieces to be carried by pack animals. The gun saw combat in the Second World War with the United States Army (primarily used by airborne units), with US Marine Corps, and was also supplied to foreign forces.;;;;;;;;;;x
EVTNAME9105319;New Airborne Howitzer Design: The M3 105mm Light Airborne Howitzer;;;;;;;;;;x
EVTDESC9105319;The M3 started its life as a shortened version of the M2105mm field howitzer. It was intended from the start to be used for airborne and jungle operations, so was required to be reasonably light, compact, and easily transportable.  Due to its weight it was light enough to be paradropped.;;;;;;;;;;x
EVTNAME9105320;New Heavy Howitzer Design: The M115 203mm Heavy Howitzer;;;;;;;;;;x
EVTDESC9105320;The M115 203 mm howitzer, also known as the M115 8 inch howitzer, was a towed howitzer developed and used by the United States Army. Until the 1950s it was designated the 8 inch Howitzer M1. The original design started in 1919 but lapsed until resurrected in 1927 as a partner-piece for a new 155 mm gun. It was standardised as 8 inch Howitzer M1 in 1940. The M115/M1 was towed by the M35 Prime Mover gun tractor or a Mack 7 1⁄3 ton 6x6 truck.;;;;;;;;;;x
EVTNAME9105321;New Heavy Howitzer Design: The Little David Siege Mortar;;;;;;;;;;x
EVTDESC9105321;Little David was the nickname of an American 36-inch (910 mm) caliber mortar used for test firing aerial bombs during World War II, that is one of the largest calibre guns ever built, having a larger calibre than both of Germany's Dora and Gustav which were 31.5-inch (800 mm) railway guns. Great Britain's Mallet's Mortar had an identical calibre.;;;;;;;;;;x
EVTNAME9105322;New Anti-Tank Gun Design: The M3 37mm Anti-Tank Gun;;;;;;;;;;x
EVTDESC9105322;The 37 mm Gun M3 was the first dedicated anti-tank gun fielded by United States forces in numbers. Introduced in 1940, it became the standard anti-tank gun of the U.S. infantry with its size enabling it to be pulled by a jeep. However, the continuing improvement of German tanks quickly rendered the 37 mm ineffective, and by 1943 it was being gradually replaced in the European and Mediterranean theaters by the more powerful British-developed 57 mm Gun M1. In the Pacific, where the Japanese tank threat was less significant, the M3 remained in service until the end of the war. Like many other light anti-tank guns, the M3 was widely used in the infantry support role and as an anti-personnel weapon, firing high-explosive and canister rounds.;;;;;;;;;;x
EVTNAME9105323;New Anti-Tank Gun Design: The M1 57mm Anti-Tank Gun;;;;;;;;;;x
EVTDESC9105323;The American M1 57mm Anti-Tank Gun was nothing more than a redesignation of the British 6 Pounder Anti-Tank Gun.;;;;;;;;;;x
EVTNAME9105324;New Anti-Tank Gun Design: The T8 90mm Anti-Tank Gun;;;;;;;;;;x
EVTDESC9105324;The 90 mm Gun M1/M2/M3 served as a primary heavy American anti-aircraft and anti-tank gun, playing a role similar to the renowned German 88 mm gun. It was 90 mm (3.5 in) in caliber, and had a 4.60 m (15 ft) barrel, 53 calibers in length. It was capable of firing a 90×600 mm R shell 17,823 m (58,474 ft) horizontally, or a maximum altitude of 10,380 m (34,060 ft). The 90 mm Gun was the US's primary anti-aircraft gun from just prior to the opening of World War II into the 1950s, when most anti-aircraft artillery was replaced by guided missile systems. As a tank gun, it was the main weapon of the M36 tank destroyer and M26 Pershing tank, as well as a number of post-war tanks. It was briefly deployed 1943-46 as a coast defense weapon with the United States Army Coast Artillery Corps.;;;;;;;;;;x
EVTNAME9105325;New Anti-Aircraft Gun Design: The M1918 76.2mm Anti-Aircraft Gun;;;;;;;;;;x
EVTDESC9105325;The 3-inch M1918 gun was a United States 3-inch anti-aircraft gun that entered service in 1918 and served until it was finally superseded by the 3" M3 gun in 1930. The M3 was subsequently replaced by the M1 90mm AA gun just prior to the opening of World War II. The M3 3" gun was later adapted for the anti-tank role, serving as the main armament of the M10 tank destroyer during World War II.;;;;;;;;;;x
EVTNAME9105326;New Anti-Aircraft Gun Design: The M1 90mm Anti-Aircraft Gun;;;;;;;;;;x
EVTDESC9105326;The 90 mm Gun M1/M2/M3 served as a primary heavy American anti-aircraft and anti-tank gun, playing a role similar to the renowned German 88 mm gun. It was 90 mm (3.5 in) in caliber, and had a 4.60 m (15 ft) barrel, 53 calibers in length. It was capable of firing a 90×600 mm R shell 17,823 m (58,474 ft) horizontally, or a maximum altitude of 10,380 m (34,060 ft). The 90 mm Gun was the US's primary anti-aircraft gun from just prior to the opening of World War II into the 1950s, when most anti-aircraft artillery was replaced by guided missile systems. As a tank gun, it was the main weapon of the M36 tank destroyer and M26 Pershing tank, as well as a number of post-war tanks. It was briefly deployed 1943-46 as a coast defense weapon with the United States Army Coast Artillery Corps.;;;;;;;;;;x
EVTNAME9105327;New Anti-Aircraft Gun Design: The M1 120mm Anti-Aircraft Gun;;;;;;;;;;x
EVTDESC9105327;The 120 mm Gun M1 was the United States Army's standard super-heavy anti-aircraft gun, complementing the smaller and more mobile M2 90 mm gun in service. Its maximum altitude was about 60,000 ft (18,000 m), and was nicknamed the stratosphere gun. The 120 served primarily in static defensive roles, although it had been designed to be mobile.;;;;;;;;;;x
EVTNAME9105328;New Anti-Aircraft Gun Design: The M45 Quadmount 50.Cal(Maxson) Anti-Aircraft Gun;;;;;;;;;;x
EVTDESC9105328;The M45 Quadmount (nicknamed the "meat chopper" and "Krautmower" for its high rate of fire) was a weapon mounting consisting of four of the "HB", or "heavy barrel" .50 caliber M2 Browning machine guns (of the M2 Turret Type (TT) variant) mounted in pairs on each side of an open, electrically powered turret. It was developed by the W. L. Maxson Corporation to replace the earlier M33 twin mount (also from Maxson). Although designed as an anti-aircraft weapon, it was also used against ground targets. Introduced in 1943 during World War II, it remained in US service as late as the Vietnam War.;;;;;;;;;;x
EVTNAME9105329;New Rocket Artillery Gun Design: The M21 114mm Rocket Artillery;;;;;;;;;;x
EVTDESC9105329;The M21 Rocket Launcher was an attempt by the American Army to copy the German Wehrmacht Nebelwerfer.  Historically, it never was used in World War II, but it was shipped off to Korea.;;;;;;;;;;x
EVTNAME9105330;New Rocket Artillery Gun Design: The Rocket Launcher T34 (Calliope);;;;;;;;;;x
