# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
### SA ###;;;;;;;;;;;;;;x
SA_militia_brigade;SA Militia Regiment;;;;;;;;;;;;;x
SA_militia_brigade_short;SA-Rgt.;;;;;;;;;;;;;x
SA_militia_detachment;SA-Militia Battalion;;;;;;;;;;;;;x
SA_militia_detachment_short;SA-Bn.;;;;;;;;;;;;;x
sa_cavalry_brigade;SA-Kavallerie Regiment;;;;;;;;;;;;;x
sa_cavalry_brigade_short;SA-Kav.Rgt.;;;;;;;;;;;;;x
sa_cavalry_detachment;SA-Kavallerie Battalion;;;;;;;;;;;;;x
sa_cavalry_detachment_short;SA-Kav.Bn.;;;;;;;;;;;;;x
SA_hq_brigade;SA HQ;;;;;;;;;;;;;x
SA_hq_brigade_short;SAHQ;;;;;;;;;;;;;x
### SS ###;;;;;;;;;;;;;;x
fascist_militia_brigade;Fascist-Militia Regiment;Milice-Fascist;Fascist-Miliz;Fascist-Miliz;;;;;;;;;;x
fascist_militia_brigade_short;Fsc Mil Rgt.;Mil.Fascist;Fascist-Miliz-Rgt.;Fascist-Mil.;;;;;;;;;;x
ss_garrison_brigade;SS Garrision Regiment;;;;;;;;;;;;;x
ss_garrison_brigade_short;SS-Rgt.;;;;;;;;;;;;;x
ss_infantry_brigade;SS Infantry Brigade;Infanterie-SS;SS-Infanterie;SS-Infanterie;;;;;;;;;;x
ss_infantry_brigade_short;SS Inf.Bgde.;Inf-SS.;SS-Inf.-Rgt.;SS-Inf.;;;;;;;;;;x
ss_infantry_bat;SS Infantry Regiment;Infanterie-SS;SS-Infanterie;SS-Infanterie;;;;;;;;;;x
ss_infantry_bat_short;SS Inf Rgt.;Inf-SS.;SS-Inf.-Rgt.;SS-Inf.;;;;;;;;;;x
ss_motorized_brigade;SS Motorized Brigade;SS Mot.;SS-Schützen;SS-Schützen;;;;;;;;x
ss_motorized_brigade_short;SS Mot Bgde.;SS Mot. ;SS-Schtz.-Rgt.;SS-Schtz.;;;;;;;;x
ss_mechanized_brigade;SS Mechanized Regiment;PzGrenadier SS Mech.;SS-Panzergrenadiere;SS-Panzergrenadiere;;;;;;;;x
ss_mechanized_brigade_short;SS PzGr Rgt.;PzGr.SSMech;SS-PzGren.-Rgt.;SS-PzGr.;;;;;;;;x
ss_armor_brigade;SS Armor Regiment;Panzer SS;SS-Panzer;SS-Panzer;;;;;;;;x
ss_armor_brigade_short;SS Arm Rgt.;Pz.SS;SS-Pz.-Rgt.;SS-Pz;;;;;;;;x
