##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
############### FRENCH ARMY UNIQUE WEAPONS ####################;;;;;;;;;;;;;;x
EVTNAME9105700;New Rifle Design: The Modele 1886 'Lebel' Rifle;;;;;;;;;;x
EVTDESC9105700;The Lebel Model 1886 rifle is also known as the 'Fusil Mle 1886 M93', after a bolt modification was added in 1893. It is an 8 mm bolt action infantry rifle that entered service in the French Army in 1887. It is a repeating rifle that can hold eight rounds in its forestock tube magazine, one round in the transporter plus one round in the chamber. The Lebel rifle has the distinction of being the first military firearm to use smokeless powder ammunition.  Featuring an oversized bolt with front locking lugs and a massive receiver, the Lebel rifle was a durable design capable of long range performance. In spite of early obsolete features, such as its tube magazine and the shape of 8mm Lebel rimmed ammunition, the Lebel rifle remained the basic weapon of French line infantry during World War I (1914–1918). Altogether, 3.45 million Lebel rifles were produced by the three French state factories between 1887 and 1916.;;;;;;;;;;x
EVTNAME9105701;New Rifle Design: The MAS 36 Bolt Action Rifle;;;;;;;;;;x
EVTDESC9105701;The MAS Modele 36 was a military bolt action rifle. First adopted in 1936 by France and intended to replace the Berthier and Lebel series of service rifles, it saw service long past the World War II period. It was manufactured by Manufacture d'Armes de Saint-Etienne (MAS), one of several government-owned arms factories in France. Because production was initiated late in 1937, not enough MAS-36 rifles were available to arm French infantry when the war broke out in September 1939. Mass production finally caught up after World War II and MAS-36 rifles became widely used in service during the First Indochina War, the Algerian War and the Suez Crisis. Altogether, about 1.1 million MAS-36 rifles had been manufactured when production ceased in 1952.;;;;;;;;;;x
EVTNAME9105702;New Rifle Design: The Fusil Automatique Model 1917;;;;;;;;;;x
EVTDESC9105702;The Fusil Automatique Modele 1917 (also called the RSC M1917) was a semi-automatic, gas-operated, infantry rifle that the French Army placed in service during the latter part (1918) of World War I. It was chambered in then-standard 8mm Lebel, the rimmed cartridge used in other French Army infantry weapons of the time. Altogether, MAT (Manufacture d'Armes de Tulle) had manufactured 86,000 RSC M1917 rifles when their production run ended in late November 1918.;;;;;;;;;;x
EVTNAME9105703;New Submachinegun Design: The MAS 38 Submachinegun;;;;;;;;;;x
EVTDESC9105703;The MAS-38 was a French submachine gun designed prior to the Second World War and used by French and German forces. It derived from a small arms development program that took place between 1918 and 1922 under the control of the Service Technique de l'Armement. A submachine gun, a light machine gun and a semi automatic rifle were developed to replace all the existing small arms. Budgetary constraints due to choices like building the Maginot Line led to the delay of adoption of these new arms except for the LMG 1924.;;;;;;;;;;x
EVTNAME9105704;New Light Machine Gun Design: The Fusil Modele 1915 CSRG Light Machine Gun;;;;;;;;;;x
EVTDESC9105704;The Chauchat, named after its main contributor Colonel Louis Chauchat, was the standard machine rifle or light machine gun of the French Army during World War I (1914–18). Its official designation was 'Fusil Mitrailleur Modele 1915 CSRG'.  Beginning in June 1916, it was placed into regular service with French infantry, where the troops called it the FM Chauchat. The Chauchat machine rifle in 8mm Lebel was also extensively used in 1917–18 by the American Expeditionary Forces (A.E.F), where it was officially designated as the 'Automatic Rifle, Model 1915 (Chauchat)'. A total of 262,000 Chauchat machine rifles were manufactured between December 1915 and November 1918, including 244,000 chambered for the 8mm Lebel service cartridge, making it the most widely manufactured automatic weapon of World War I. The armies of eight other nations – Belgium, Finland, Greece, Italy, Poland, Romania, Russia, and Serbia – also used the Chauchat machine rifle in fairly large numbers during and after World War I. The Chauchat machine rifle was one of the first light, automatic rifle-caliber weapons designed to be carried and fired by a single operator and an assistant, without a heavy tripod or a team of gunners. It set a precedent for several subsequent 20th-century firearm projects, being a portable, yet full-power automatic weapon built inexpensively and in very large numbers. The Chauchat combined a pistol grip, an in-line stock, a detachable magazine, and a selective fire capability in a compact package of manageable weight (20 pounds) for a single soldier. Furthermore, it could be routinely fired from the hip and while walking (marching fire).;;;;;;;;;;x
